trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low
2008-03-25,3559.942,3659.21,3521.528,3629.619,5276533600,-1.210589980335983,-1.3014755038673909,-1.1719919705649267,-1.351582088550077
2008-03-26,3644.13,3698.325,3591.108,3606.857,4625181800,-1.25080058108871,-1.2019036055581735,-1.1308073270488668,-1.2714610717288624
2008-03-27,3541.276,3541.276,3407.896,3411.493,5506986600,-1.5165647327723015,-1.3455214680910625,-1.3455214680910625,-1.521305281403928
2008-03-28,3378.628,3590.753,3357.229,3580.146,6329168400,-1.3037301042587686,-1.5706403043943873,-1.2896811533321095,-1.59898323838888
2008-03-31,3465.908,3555.824,3445.556,3472.713,4711346900,-1.4542304873641014,-1.4632803524226101,-1.3437024440316,-1.4903461648650431
2008-04-01,3461.085,3493.133,3308.902,3329.162,5483137600,-1.650919105532219,-1.4750134455335202,-1.4322807560734698,-1.677933717628469
2008-04-02,3370.604,3464.531,3283.64,3347.882,6548728600,-1.6317710615406307,-1.6013926576773736,-1.475816020952429,-1.7176600423074382
2008-04-03,3323.426,3456.948,3271.29,3446.244,5088922400,-1.5074738655816224,-1.6722488775076774,-1.4931131714842063,-1.7421955467400114
2008-04-07,3418.516,3613.48,3386.512,3599.618,6099453700,-1.3096706954908905,-1.5536518265380301,-1.2909957695454264,-1.5967677066389272
2008-04-08,3604.263,3656.961,3563.85,3612.539,6548482300,-1.3001378073229017,-1.3113332564748963,-1.240045462925864,-1.3660023824511585
2008-04-09,3585.847,3606.887,3413.072,3413.907,5985204900,-1.5736759369456417,-1.3405573208450285,-1.312030999554131,-1.5748080414265304
2008-04-10,3378.139,3474.312,3344.87,3471.743,4545515000,-1.5004789623372987,-1.6277058894164333,-1.4969871673748367,-1.6729252458220973
2008-04-11,3498.555,3517.818,3462.136,3492.893,4328424400,-1.4775623943307314,-1.4698448299510387,-1.4435884819033473,-1.5194855888955878
2008-04-14,3419.047,3427.884,3285.298,3296.672,5031170600,-1.746001020925666,-1.579127391106194,-1.5670770355048484,-1.7615108935758537
2008-04-15,3282.572,3349.76,3212.15,3348.353,4466845700,-1.676727580325095,-1.7664759172298665,-1.6748079392429431,-1.862556204569795
2008-04-16,3349.931,3363.216,3283.078,3291.599,4009118400,-1.7541611877280594,-1.6745758540647766,-1.6564504484946487,-1.7657868242250911
2008-04-17,3286.414,3352.951,3180.199,3222.741,4584330500,-1.845862907434569,-1.7590715819385294,-1.6683763983516096,-1.9038510117998806
2008-04-18,3200.57,3203.71,3078.174,3094.668,4366534300,-2.014536021235329,-1.870516541714656,-1.866246356395258,-2.0369667335468433
2008-04-21,3305.152,3305.168,3073.563,3116.977,5995529300,-1.9772706922514693,-1.7220631754872044,-1.7220414758976295,-2.0361498161138516
2008-04-22,3076.715,3148.731,2990.788,3147.793,4878741300,-1.9285327471322513,-2.0246638395692442,-1.9272641272399371,-2.140877807039256
2008-04-23,3116.412,3296.717,3089.893,3278.33,6623512500,-1.7475465245246382,-1.966126733503795,-1.7227251068780531,-2.001925894572473
2008-04-24,3539.868,3593.197,3461.643,3583.028,14206628700,-1.3370127933984268,-1.3952987298832062,-1.3232799461298044,-1.5009386136070686
2008-04-25,3572.547,3658.551,3527.838,3557.749,12962102100,-1.3717701162867326,-1.3517800437779246,-1.2356004116622679,-1.4121757831884043
2008-04-28,3497.383,3530.905,3460.255,3474.722,7574497500,-1.481915933177063,-1.4513320877985851,-1.4060899685285897,-1.501440953745019
2008-04-29,3457.351,3544.229,3453.279,3523.405,6717525000,-1.414825887770735,-1.5039165397100662,-1.386739417065182,-1.5094086694023932
2008-04-30,3545.573,3705.093,3543.019,3693.106,10761770800,-1.1870116495681258,-1.386104645348046,-1.1708354195693198,-1.3895512200887612
2008-05-05,3739.797,3768.216,3696.697,3761.009,9969691600,-1.0994611510948098,-1.1281492952171028,-1.0897140525331765,-1.1864398388561197
2008-05-06,3735.849,3786.024,3680.99,3733.503,9893225000,-1.1385974126443157,-1.1354214030544447,-1.0674945994859113,-1.2096893954204877
2008-05-07,3716.446,3774.066,3577.991,3579.147,9049714300,-1.3456541531180723,-1.1599450026225304,-1.082008810432106,-1.3472177462831563
2008-05-08,3538.916,3658.047,3523.025,3656.839,7517324200,-1.2397175582438966,-1.3991534319266774,-1.2380843014966225,-1.4206385999489723
2008-05-09,3682.955,3693.16,3552.473,3613.494,8789842500,-1.2965196769906349,-1.2026858040669115,-1.1889000153050655,-1.3789520744464527
2008-05-12,3548.614,3668.857,3521.878,3626.982,7989122000,-1.2762059178288172,-1.3819680160937762,-1.2196932102843454,-1.418049777261752
2008-05-13,3515.711,3615.06,3508.32,3560.243,9074717700,-1.3634046732363039,-1.4234239031317195,-1.289523551230174,-1.4333853270102113
