,trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low,signal,reward
977,2022-04-13,3199.797,3225.467,3183.533,3186.824,39115692500,-2.788697881416275,-2.6754182873131045,-2.451269117450435,-2.8174347305794254,2.0,-1.1225596393148796
978,2022-04-14,3203.634,3240.001,3200.235,3225.641,37124234400,-2.4140210233198145,-2.604003256661997,-2.2900538823740346,-2.6333461753301517,2.0,-4.521054884905052
979,2022-04-15,3210.7,3229.866,3200.133,3211.245,40784208200,-2.5000621776895744,-2.5047106559364614,-2.34123774936797,-2.594839958018755,2.0,-3.871582517061145
980,2022-04-18,3185.943,3204.027,3166.978,3195.524,34736512300,-2.590072447974901,-2.6707049459165355,-2.518512263234502,-2.830312014433723,2.0,-8.355812693004328
981,2022-04-19,3192.092,3207.828,3174.714,3194.029,33994410400,-2.558904409492936,-2.5749918747530853,-2.444298868385645,-2.7193222677788493,2.0,-9.63056378010344
982,2022-04-20,3189.891,3191.832,3142.049,3151.05,36204703700,-2.857242166144927,-2.539948685358842,-2.5240925888060826,-2.930771648407372,2.0,-6.117579854334265
983,2022-04-21,3138.428,3160.899,3069.681,3079.808,39193469400,-3.348735654080936,-2.8807019315918163,-2.701289004637654,-3.429591633399381,2.0,-3.3873215473172347
984,2022-04-22,3058.404,3105.655,3049.356,3086.919,34200056300,-3.2111943360976336,-3.4341269457204087,-3.064714750830497,-3.504864952098344,2.0,-1.291157947455046
985,2022-04-25,3034.267,3043.816,2928.51,2928.512,43360610800,-4.269869667553588,-3.4735718053713045,-3.401671202222719,-4.269884726848414,2.0,4.754872098867957
986,2022-04-26,2930.453,2957.68,2878.256,2886.426,40161515400,-4.394353483061341,-4.075658934146972,-3.87857313490352,-4.453492976204875,2.0,3.988842949723992
987,2022-04-27,2866.816,2959.178,2863.65,2958.282,42306019100,-3.754866166860734,-4.398648684529906,-3.748559679905675,-4.420932543569773,2.0,1.5501902793580769
988,2022-04-28,2945.811,2991.51,2936.794,2975.485,37537177500,-3.531923665662448,-3.735620045808429,-3.4219204813314046,-3.7975170013849056,2.0,2.0285432458910124
989,2022-04-29,2986.061,3048.494,2968.334,3047.062,42393279400,-2.979041958547998,-3.3906037303243943,-2.96938053566667,-3.5102043193029413,2.0,0.38204014227476435
990,2022-05-05,3044.849,3082.23,3042.116,3067.759,38307287500,-2.7864810216441964,-2.938684361468823,-2.690342456362565,-2.956841137014032,2.0,-0.41610178635284045
